,player_final,player_final_value,actions_taken
395,"{10, 3}",13,{'S'}
396,"{8, 10}",18,{'S'}
397,"{5, 10, 10}",25,{'H'}
398,"{3, 4}",7,{'N'}
399,"{8, 10}",18,{}
400,"{8, 7, 2}",17,"{'H', 'S'}"
401,"{4, 10, 4}",18,"{'H', 'S'}"
402,"{5, 4, 5}",14,{'D'}
403,"{5, 9, 5}",19,"{'H', 'S'}"
404,"{4, 10, 10}",24,{'H'}
405,"{8, 10}",18,{'S'}
406,"{3, 7, 3, 10}",23,"{'N', 'H', 'H'}"
407,"{8, 10}",18,{'S'}
408,"{6, 10}",16,{'S'}
409,"{3, 9, 9}",21,"{'H', 'S'}"
410,"{10, 9}",19,{}
411,"{8, 6, 4}",18,"{'H', 'S'}"
412,"{2, 5, 10}",17,"{'H', 'S'}"
413,"{10, 10}",20,{'S'}
414,"{8, 7, 2}",17,"{'H', 'S'}"
415,"{5, 10, 10}",25,{'H'}
416,"{10, 8}",18,{'S'}
417,"{10, 3, 10}",23,{'H'}
418,"{10, 8}",18,{}
419,"{9, 11}",20,{'S'}
420,"{4, 10, 10}",24,"{'N', 'H'}"
421,"{5, 7, 11, 6}",19,"{'H', 'H', 'S'}"
422,"{11, 5, 3}",19,"{'H', 'S'}"
423,"{10, 11}",21,{'S'}
424,"{4, 10}",14,{'N'}
425,"{10, 11}",21,"{'N', 'S'}"
426,"{8, 4, 5}",17,"{'H', 'S'}"
427,"{5, 6, 6}",17,{'D'}
428,"{10, 8}",18,{'S'}
429,"{11, 4, 10, 5}",20,"{'H', 'H', 'S'}"
430,"{3, 7, 10}",20,"{'H', 'S'}"
431,"{10, 10}",20,{'S'}
432,"{7, 11, 2}",20,"{'H', 'S'}"
433,"{10, 4}",14,{'S'}
434,"{9, 3, 5}",17,"{'H', 'S'}"
435,"{6, 2, 6}",14,"{'H', 'S'}"
436,"{6, 11, 4}",21,"{'H', 'S'}"
437,"{8, 6, 10}",24,{'H'}
438,"{11, 10}",21,{'S'}
439,"{3, 6}",9,{}
440,"{6, 10}",16,{}
441,"{10, 8}",18,{'S'}
442,"{3, 9, 7}",19,"{'H', 'S'}"
443,"{9, 9}",18,{'S'}
444,"{2, 9, 6}",17,{'D'}
445,"{10, 9}",19,{'S'}
446,"{10, 4}",14,{}
447,"{10, 9}",19,{'S'}
448,"{10, 5, 10}",25,{'H'}
449,"{7, 10}",17,{'S'}
450,"{6, 7}",13,{}
451,"{8, 2, 10}",20,{'D'}
452,"{8, 10}",18,{'S'}
453,"{11, 10}",21,{'S'}
454,"{4, 2, 5, 11}",12,"{'H', 'H', 'S'}"
455,"{5, 10}",15,{'S'}
456,"{10, 9}",19,{'S'}
457,"{10, 9}",19,{'S'}
458,"{11, 8}",19,{'S'}
459,"{10, 8}",18,{'S'}
460,"{10, 4}",14,{'S'}
461,"{10, 6}",16,{'S'}
462,"{9, 8}",17,"{'N', 'R'}"
463,"{4, 7, 3}",14,{'D'}
464,"{7, 2, 10}",19,{'D'}
465,"{3, 8, 2}",13,{'D'}
466,"{3, 10}",13,{'S'}
467,"{10, 8}",18,{'S'}
468,"{5, 8, 6}",19,"{'H', 'S'}"
469,"{10, 10}",20,{'S'}
470,"{9, 4, 10}",23,{'H'}
471,"{4, 5, 9}",18,{'D'}
472,"{6, 6, 11, 3, 3}",19,"{'H', 'H', 'H', 'S'}"
